,index,date,description
0,171,2014-09-10 08:37:44,"Pope Francis laments war in Holy Land on solemn Christmas Eve. Airstrike in central Gaza kills 70, Palestinian official says Army looking into report of Gaza strike. In Bethlehem, the Israeli-occupied Palestinian West Bank city where Jesus Christ is believed to have been born in a stable 2,000 years ago, clergy cancelled traditional celebrations."
1,168,2023-12-18 00:00:00,"Heavy rains have started in the Gaza Strip, exacerbating the suffering of the Palestinian people. Israel’s genocidal war on the besieged territory has already displaced millions of people. Motee Abu Musabeh is a Palestinian journalist who has lived in Gaza for more than a decade."
2,206,2023-12-18 00:00:00,"The oil major's move, announced on Monday (December 18, 2023), follows similar decisions taken on security grounds by several shipping companies since December 15. The Red Sea is a key oil supply artery between Europe, the Middle East and Asia via the Suez Canal, accounting for over 10% of global seaborne crude."
3,99,2023-12-18 07:15:39,"Israeli forces launch fresh attacks throughout the night across the Gaza Strip. U.N. Security Council could vote as early as Monday on a proposal to demand that Israel and Hamas allow aid access. Human Rights Watch says Israel is using starvation as a weapon by deliberately blocking the delivery of water, food, fuel and razing agricultural areas."
4,201,2023-12-19 07:27:00,"The current Western governments have been giving full and unconditional support to Israel’s oppressive policies and atrocities. Pro-Israeli Western governments do not take into account their citizens’ views on the latest developments in Palestine. The anti-Zionist (pro-Palestinian) camp consists of most countries, Muslim nations, Arab peoples and world public opinion."
5,160,2023-12-19 09:50:28,"Israeli bombing operations on Tuesday morning were concentrated in Rafah and Khan Yunis, south and central of the Gaza Strip. At least 25 Palestinian civilians were killed, including journalist Adel Zourob, and a number of children and women, in a bombing. The number of journalists killed by Israel since October 7 has risen to 97."
6,155,2023-12-19 17:35:20,"Israel has dropped thousands of tonnes of munitions over the past 10 weeks, leaving the narrow Mediterranean strip in ruins and killing nearly 20,000. Another 50,000 are injured, with almost no healthcare facilities working. U.S. Secretary of Defense Lloyd Austin on Monday urged his Israeli counterpart Israel to reduce harm to civilians."
7,175,2023-12-19 20:52:04,"Israel bombarded towns across southern Gaza on Tuesday with airstrikes, killing at least 45 Palestinians. The air and ground war has killed nearly 20,000 Palestinians, displaced some 1.9 million, demolished much of northern Gaza and sparked attacks on US and Israeli targets. Israel says it has killed some 7,000 militants, without providing evidence, and blames civilian deaths on Hamas."
8,243,2023-12-20 03:04:46,"Israeli troops have raided a series of hospitals and shelters in the north, detaining men in a search for militants. The densely built urban north, including Gaza City, has seen ferocious fighting between troops and militants. Israeli defence minister, Yoav Gallant, warned the campaign in Gaza's south will persist for months."
9,49,2023-12-21 00:00:00,"Israel has ordered more evacuations in southern Gaza's main city as diplomats press on with efforts to secure a pause in the war. The United Nations said Israel had issued evacuation orders on Wednesday for large areas of Khan Yunis. Hamas government's media office in the Gaza Strip said Wednesday at least 20,000 people had been killed in the Palestinian territory."
10,173,2023-12-21 00:00:00,"Ministry of Foreign Affairs and Migrants criticizes Israel’s ongoing impunity. The inability of the competent international courts to try Israel “undermines any credibility of justice,” it said. “The Israeli army murders Palestinians in cold blood while the world watches,’ it added."
11,187,2023-12-21 00:00:00,"The Israeli military continues its intense bombardment of the Gaza strip, killing and injuring dozens of Palestinian civilians. The death toll in Gaza is likely to breach the 20,000 mark, with more than 53,000 wounded. International human rights organizations have issued repeated and desperate appeals for a humanitarian truce and a cessation in fighting to avert further civilian deaths and suffering."
12,22,2023-12-21 08:30:02,"U.S. Secretary of State Antony Blinken will speak with his Egyptian and UAE counterparts to try to reach a consensus. The vote initially postponed from Monday and then pushed back to Tuesday and then Wednesday is now expected on Thursday morning. The current draft proposes a U.N. role, an idea Israel is likely to oppose."
13,227,2023-12-21 16:50:51,"The United States says there are ""serious and widespread concerns"" that the current draft of a U.N. Security Council proposal could actually slow down deliveries. Last-minute negotiations continued on Thursday to try to avoid a veto of the resolution. The resolution would demand that Israel and Hamas allow and facilitate ""the use of all land, sea and air routes to and throughout the entire Gaza"""
14,189,2023-12-21 18:05:43,"American tennis star, Jessica Pegula, has been one of the top players on the WTA Tour. Recently, she opened up about her main goal in the sport and how she wants to inspire the next generation to take up the sport. The 29-year-old is active not only in singles but also in doubles."
15,145,2023-12-22 00:00:00,The U.S. lifted its objection to a draft United Nations Security Council resolution to increase humanitarian aid to Gaza. The 15-member Council approved the text by 13-0 with two abstentions from the United States and Russia. The wording of the document is a compromise solution that involved watering down the initial resolution.
16,170,2023-12-22 00:00:00,"Israeli soldier, 19, killed by one of several rocket attacks from Lebanon. Two Hezbollah fighters also killed, Iran-backed group said in a statement. Since October 8, Hezbollah and allied armed groups have sought to distract Israel from its assault on the Hamas-controlled Gaza Strip."
17,45,2023-12-22 07:41:12,"Hamas has said no more hostages would be released until Israel agrees to a ""full cessation of aggression"" The development comes after a week-long ceasefire ended this month and negotiations on a new truce have been taking place in Cairo. Israel has made it clear that it would not stop until the goal of Hamas' destruction is achieved."
18,3,2023-12-22 11:42:14,"The year 2023 proved to be a noteworthy period marked by several significant global events. From the wrestlers' protest to the breach of Parliament security, there were numerous major headlines. The year was particularly memorable in the context of India, highlighted by the success of Chandrayaan-3 and the successful organization of the G20 summit."
19,66,2023-12-23 00:42:21,The IDF (Israel Defense Forces) reported that an Air Force fighter jet attacked what it described as a terrorist infrastructure of the Hezbollah terrorist organisation in Lebanese territory. The attack came after yet another rocket attack launched from Lebanon at Israeli territory. IDF forces also hit Hezbollah targets with artillery fire.
20,51,2023-12-23 06:46:20,"More than 200 demonstrators from various parts of Islamabad were arrested. Police batons, water cannons and tear gas were also used against the protesters. President Arif Alvi and caretaker PM Anwaarul Haq Kakar announced measures to improve the law and order situation in Balochistan."
21,14,2023-12-24 00:00:00,"Pope Francis said his heart is with those suffering in Bethlehem, where the good of God is being muffled by the conflict in Gaza. The pope has pleaded multiple times for a cease-fire between Israel and Hamas since the conflict erupted in early October. The violence has already claimed the lives of more than 20,000 Palestinian lives, as well as 153 Israili soldiers and 1,200 Israeli civilians."
22,19,2023-12-24 00:00:00,"Israel broadens its military offensive in beleaguered Gaza, stepping up strikes in central region. Israel Defense Forces struck at least three areas in central Gaza on Saturday and Sunday. 15 Israeli soldiers were killed in Gaza over the weekend, the IDF said. The total number of recorded deaths in Gaza is 20,424 since the start of the war."
23,31,2023-12-24 00:00:00,A sticker showing a black dove and the words 01:UDHR was on his bat and shoes during training in Melbourne on Sunday. The star batter had multiple meetings with Cricket Australia over recent days to find a message that would be appropriate for the second Test this week. But his latest humanitarian gesture has been turned down by the International Cricket Committee. The 36-year-old had wanted to show his support for the people of Gaza.
24,42,2023-12-24 00:00:00,"Palestinian health officials reported at least 70 dead in an Israeli airstrike on central Gaza. Israel reported the highest two-day death toll for its troops in more than a month. But in Bethlehem, the Israeli-occupied Palestinian West Bank city where Jesus Christ is believed to have been born in a stable 2,000 years ago, clergy cancelled traditional celebrations."
25,43,2023-12-24 00:00:00,"The shipping giant paused sending vessels through the Bab el-Mandeb strait earlier in December due to attacks against its ships. That rendered the Suez Canal, which is key to global commerce, unusable for most routes. The United States said on Tuesday it was launching a multinational operation to protect commerce in the Red Sea."
26,117,2023-12-24 00:00:00,"Denmark's Maersk is preparing to resume shipping operations in the Red Sea and the Gulf of Aden, the company said on Sunday. The shipping giant paused sending vessels through the Bab el-Mandeb strait earlier in December due to attacks against its ships. That rendered the Suez Canal, which is key to global commerce, unusable for most routes."
27,136,2023-12-24 00:00:00,"People donned Santa caps on beaches, ski slopes and streets around the globe on Monday. Pope Francis kicked off the global celebrations with a sombre call for peace during Christmas Eve mass at the Vatican. Red and white Santa outfits appeared on surfers from Australia to Florida, on bicyclists in the smog-filled streets of New Delhi."
28,137,2023-12-24 00:00:00,"Tentative efforts continue on a deal for another exchange of hostages for Palestinians held by Israel. The war has devastated parts of Gaza, killed roughly 20,400 Palestinians and displaced almost all of the territory’s 2.3 million people. More than two-thirds of the 20,000 Palestinians killed have been women and children."
29,141,2023-12-24 00:21:46,"The death toll in Gaza has soared to 20,258, with 53,688 others wounded during the 11-week assault by Israeli forces. The humanitarian situation is described as ‘beyond catastrophic’ with nearly all of Gaza’s 2.3 million inhabitants displaced and facing the specter of widespread famine. The Gaza government media office has reported the deaths of 100 Palestinian journalists, casualties of the efforts to document Israeli violations."
30,71,2023-12-24 02:24:08,Hamas says it has lost contact with a group of five hostages. The hostages are believed to have been killed in an Israeli airstrike. The Israeli military did not immediately comment on the reports. The group of hostages is believed to be made up of Israelis and foreigners. The release of the hostages was part of a prisoner exchange.
