title,date,description,source,label
"Factory worker killed by rocket strike in northern Israel, emergency services say",2014-09-10,"Disclaimer: The XM Group entities provide execution-only service and access to our Online Trading Facility, permitting a person to view and/or use the content available on or via the website, is not intended to change or expand on this, nor does it change or expand on this. Such access and use are always subject to: (i) Terms and Conditions; (ii) Risk Warnings; and (iii) Full Disclaimer. Such content is therefore provided as no more than general information. Particularly, please be aware that the contents of our Online Trading Facility are neither a solicitation, nor an offer to enter any transactions on the financial markets. Trading on any financial market involves a significant level of risk to your capital.

All material published on our Online Trading Facility is intended for educational/informational purposes only, and does not contain – nor should it be considered as containing – financial, investment tax or trading advice and recommendations; or a record of our trading prices; or an offer of, or solicitation for, a transaction in any financial instruments; or unsolicited financial promotions to you.

Any third-party content, as well as content prepared by XM, such as: opinions, news, research, analyses, prices and other information or links to third-party sites contained on this website are provided on an “as-is” basis, as general market commentary, and do not constitute investment advice. To the extent that any content is construed as investment research, you must note and accept that the content was not intended to and has not been prepared in accordance with legal requirements designed to promote the independence of investment research and as such, it would be considered as marketing communication under the relevant laws and regulations. Please ensure that you have read and understood our Notification on Non-Independent Investment. Research and Risk Warning concerning the foregoing information, which can be accessed here.",https://www.xm.com/,-1
Israel shelling kills two in south Lebanon,2023-01-12,"BEIRUT/JERUSALEM - Israeli shelling killed two people in south Lebanon on Friday, a Lebanese official said, as the collapse of a truce between Israel and the Palestinian militant group Hamas prompted a resumption of hostilities at the frontier.

The Iran-backed Lebanese group Hezbollah, a Hamas ally, said it had carried out several attacks on Israeli military positions at the border in support Palestinians in the Gaza Strip, where a week long pause in the fighting ended early on Friday.

The Israeli army said its artillery struck sources of fire from Lebanon and air defences had intercepted two launches. The army also said it struck a ""terrorist cell"". Sirens warning of possible incoming rockets sounded in several towns in northern Israel, sending residents running for shelter.

Israeli shelling killed a woman and her 35-year-old son in the Lebanese border town of Houla, Shakeeb Koteich, the head of the town's municipal council, told Reuters, saying both were civilians.

""A shell landed near the house, and then a second one hit the house,"" Koteich said by telephone.

Following the eruption of the Hamas-Israel war on Oct. 7, Hezbollah mounted near daily rocket attacks on Israeli positions at the frontier while Israel waged air and artillery strikes in south Lebanon.

It has been the worst fighting since a 2006 war between Israel and Hezbollah, part of an Iran-backed alliance that also includes Hamas. About 100 people in Lebanon have been killed during the hostilities, 80 of them Hezbollah fighters. Tens of thousands of people have fled both sides of the border.

Hezbollah released statements claiming five attacks on Israeli military positions at the border, describing these as ""in support of our steadfast Palestinian people ... and its valiant and honourable resistance"".

Lebanon-based militants from Hamas and the Palestinian group Islamic Jihad have also mounted attacks from Lebanese territory.

""Hezbollah has linked what happens at the border with what happens in Gaza,"" said Nabil Boumonsef, deputy editor-in-chief of Lebanon's Annahar newspaper.

""All the while the war in Gaza continues Lebanon will remain threatened by the danger of a major escalation.""

Senior Hezbollah politician Hassan Fadlallah earlier said the group was vigilant and ready after the Hamas-Israel truce ended.

""In Lebanon, we are concerned in facing this challenge, being vigilant, and always ready to confront any possibility and any danger that may arise in our country,"" he said.

""No one thinks that Lebanon has been spared from this Zionist targeting or that what is happening in Gaza cannot affect the situation in Lebanon,"" he said.",https://www.middle-east-online.com/,-1
"Israeli war planes, artillery bombard southern Gaza",2023-02-12,"GAZA/CAIRO - US Vice President Kamala Harris said too many innocent Palestinians had been killed in Gaza as Israeli war planes and artillery bombarded the enclave on Saturday following the collapse of a truce with Hamas militants.

Residents feared the barrages presaged an Israeli ground operation in the south of the Palestinian territory that would pen them into a shrinking area and possibly try to push them across into Egypt.

The Gaza health ministry said at least 193 Palestinians had been killed since the truce ended on Friday, adding to the more than 15,000 Palestinian dead since the start of the war. Israel has sworn to annihilate Hamas following its Oct. 7 rampage in southern Israel in which it says 1,200 people were killed and more than 200 taken hostage.

Speaking in Dubai, Harris said Israel had a right to defend itself, but international and humanitarian law must be respected and ""too many innocent Palestinians have been killed.""

""Frankly, the scale of civilian suffering, and the images and videos coming from Gaza, are devastating,"" Harris told reporters.

US Defense Secretary Lloyd Austin also weighed in on the need for Israel to protect Gaza civilians as a ""moral responsibility"" even as he said the US would remain its closest friend. ""The center of gravity is the civilian population,"" he said. ""And if you drive them into the arms of the enemy, you replace a tactical victory with a strategic defeat.""

Prime Minister Benjamin Netanyahu said Israel was continuing to work in coordination with the US and international organisations to define ""safe areas"" for Gaza civilians.

""This is important because we have no desire to harm the population,"" Netanyahu told a news conference in Tel Aviv. ""We have a very strong desire to hurt Hamas.""

Harris also sketched out a US vision for post-conflict Gaza, saying the international community must support recovery and Palestinian security forces must be strengthened.

""We want to see a unified Gaza and West Bank under the Palestinian Authority, and Palestinian voices and aspirations must be at the center of this work,"" she said, adding that Hamas must no longer run Gaza.

The Western-backed Palestinian Authority governs parts of the occupied West Bank. Hamas seized control of Gaza in 2007 from Palestinian President Mahmoud Abbas' mainstream Fatah party and has ruled the enclave ever since.

Israel has vowed to wipe out Hamas once and for all. The Iranian-backed Islamist group is sworn to Israel’s destruction. One of its officials has said Hamas would repeat the Oct. 7 attacks if possible.

The Israeli military said it had killed Wessam Farhat, commander of a Hamas battalion who sent fighters to hit two kibbutzim near the Gaza Strip on Oct. 7. It also described him as one of the planners of the raid.

ISRAEL SEEKS 'SECURITY ENVELOPE'

Mark Regev, a senior adviser to Netanyahu, said Israel did not want to see Gaza's civilians caught in the crossfire.

""Israel is targeting Hamas, a brutal terrorist organization that has committed the most horrific violence against innocent civilians. Israel is making a maximum effort to safeguard Gaza's civilians,"" Regev said.

He said that when the war was over, Israel would seek a ""security envelope"" with special zones and arrangements to prevent Hamas from being positioned on its border.

Throughout Saturday morning, a steady stream of wounded people were carried into the Nasser Hospital in Khan Younis. Gaza health officials said 650 had been wounded since the truce collapsed.

The head of the International Committee of the Red Cross said the renewed fighting was intense.

""It's a new layer of destruction coming on top of massive, unparalleled destruction,"" Robert Mardini told Reuters in Dubai.

With conditions inside Gaza reaching ""breaking point,"" in Mardini's words, the first aid trucks since the end of the truce entered from Egypt through the Rafah crossing, Egyptian security and Red Crescent sources said. Some 100 trucks passed through, carrying food, water and medical supplies, the sources said.

A senior official said Israel would facilitate the provision of humanitarian aid to Gaza's civilians.

The warring sides blamed each other for the collapse of the seven-day truce, during which Hamas had released hostages in exchange for Palestinian prisoners held in Israeli jails.

Israel said it had recalled a team from Qatar, host of indirect negotiations with Hamas, accusing the Palestinian faction of reneging on a deal to free all the women and children it was holding.

French President Emmanuel Macron meanwhile said he was heading to Qatar to work on a new truce.

The deputy head of Hamas, however, said no prisoners would be exchanged with Israel unless there is a ceasefire and all Palestinian detainees in Israel are released.

Saleh Al-Arouri told Al Jazeera TV that Israeli hostages held by Hamas are soldiers and civilian men who previously served in the army.

But Israeli Defence Minister Yoav Gallant said Hamas breached its commitment to free 17 women and children still held in Gaza and insisted that the militant group must keep its word.

SOUTH TARGETED

The southern part of Gaza including Khan Younis and Rafah was pounded on Saturday. Residents said houses and a school had been hit and three mosques destroyed in Khan Younis. Columns of smoke rose into the sky.

Hamas said it targeted Tel Aviv with a rocket barrage. There were no reports of damage but paramedics said one man was treated for a shrapnel injury in central Israel.

Displaced Gazans have been sheltering in Khan Younis and Rafah because of fighting in the north, but residents said they feared Israeli troops were preparing to move south.

Palestinian witnesses said Israeli tanks had taken up positions near the road between Khan Younis and Deir Al-Balah.

Yamen, who gave only his first name, fled to Deir Al-Balah in central Gaza from the north after Israel destroyed several districts there.

""Where to after Deir Al-Balah, after Khan Younis? I don't know where I would take my wife and six children.""

On Saturday morning, Israeli air strikes hit areas close to the Nasser Hospital six times, medics and witnesses said.

The hospital is filled with thousands of displaced and hundreds of wounded, including many of those who had been evacuated from north Gaza hospitals.

""A night of horror,"" said Samira, a mother of four. ""It was one of the worst nights we spent in Khan Younis in the past six weeks since we arrived here ... We are so afraid they will enter Khan Younis.""",https://www.middle-east-online.com/,-1
Israel Retrieves Bodies Of Two Abducted Soldiers,2023-02-20,"Israeli forces recovered the bodies of two abducted soldiers, the Israel Defense Forces announced on Friday morning.

The bodies of Cpl Nik Beizer and Sgt Ron Sherman were positively identified by medical officials and military rabbis, together with the Institute of Forensic Medicine and the Israel Police.

Beizer, a 19-year-old resident of Beersheva, was a driver for the Erez District Coordination Office, which is a liaison between Israel and the Palestinians. Beizer was last seen on October 7 in the area of the Erez Crossing between Israel and Gaza.

Read More: Diet Coke, Sprite, And Fanta Recalled In U.S. Over Contamination Concerns

Sherman, a 19-year-old from the Negev town of Lehavim, was a non-commissioned officer in the Gaza Coordination and Liaison Administration. He was a dual Israeli-Argentine national.

Earlier in the morning, the IDF announced it had recovered the body of Elia Toledano. The 28-year-old was abducted from the Supernova music festival.

The IDF announcements did not indicate how or when Beizer, Sherman or Toledano died.

“Our national mission is to locate the missing and return all the hostages home. We are working together with security agencies and with all intelligence and operational means in order to return all of the hostages home,” the IDF said.

Read More: SC To Hear Plea Of Nikhil Gupta, Detained In Czech Republic For Alleged Foiled Plot To Kill Khalistani Leader Pannun

At least 1,200 people were killed in Hamas’s attacks on Israeli communities near the Gaza border on October 7.

The number of men, women, children, soldiers and foreigners held captive in Gaza by Hamas is now believed to be 132. Other people remain unaccounted for as Israeli authorities continue to identify bodies and search for human remains.

Source: (ANI)",https://news24online.com/,-1
OIC Condemns the Israeli Occupation for Allowing Extremists to March into the Occupied City of Al-Quds and the Continued Israeli Aggression against the Palestinian People,2023-07-12,"OIC Condemns the Israeli Occupation for Allowing Extremists to March into the Occupied City of Al-Quds and the Continued Israeli Aggression against the Palestinian People

Date: 07/12/2023

The Organization of Islamic Cooperation (OIC) condemned the Israeli occupation for permitting extremist settler groups to stage a provocative march through the old neighborhoods of the occupied city of Al-Quds, as part of illegal and rejected attempts aimed at impinging on the existing historical and legal status of the Islamic and Christian holy sites in Al-Quds, especially the blessed Al-Aqsa Mosque.

The OIC also warned of the danger of the continued Judaization plans carried out by the Israeli occupation authorities in the city, including the so-called “lower canal” plan, which is proposing the construction of approximately 1,792 colonial units in a new colonial bloc in the eastern part of the city, within the framework of the rejected and condemned attempts to change the existing historical, political, legal and demographic status of the city, Judaizing and severing it from its Palestinian surroundings.

The OIC reaffirmed that the city of Al-Quds Al-Sharif, the capital of the State of Palestine, is an integral part of the Palestinian territory occupied in 1967. The OIC also rejected any measures or decisions aimed at imposing the alleged Israeli sovereignty over the city and its sanctities, as illegal and illegitimate under international law and relevant UN resolutions.

Furthermore, the OIC renewed its call on international actors, especially the UN Security Council, to shoulder their responsibilities to stop the ongoing Israeli aggression on the Gaza Strip, which led to the killing of more than 16,000 martyrs, the coercive displacement of more than 1.8 million Palestinian citizens from their homes, and the lack of shelter centers in light of the prevention of supplies of fuel, electricity, materials, food, medical and drinking water. Most hospitals and medical centers are out of service in the Gaza Strip.

The OIC also called on the international community to assume its responsibilities and exert pressure on Israel, the occupying power, to put an end to the acts of violence and organized terrorism committed by extremist settler groups and Israeli occupation forces across the West Bank, leading to the killing of more than 260 martyrs and the arrest of more than 3,550 Palestinian citizens since the seventh of last October.



Other Press",https://www.oic-oci.org/,-1
OIC Condemns the Crime of the Israeli Occupation in Al-Far’a Camp and Calls on the UN Security Council to Assume its Responsibilities,2023-08-12,"OIC Condemns the Crime of the Israeli Occupation in Al-Far’a Camp and Calls on the UN Security Council to Assume its Responsibilities

Date: 08/12/2023

The Organization of Islamic Cooperation (OIC) condemned in the strongest terms the horrific crime committed by the Israeli occupation forces in the Al-Far’a camp near the city of Tubas, killing six martyrs and wounding others. It considered that an extension of the war crimes and genocide committed by the Israeli occupation and settler groups in the Gaza Strip and the West Bank, including The Holy City of Al-Quds.

The OIC held Israel, the occupying power, responsible for the continuation of these crimes. It called, at the same time, on the international community, especially Member States of the UN Security Council, to assume their responsibilities and vote on 8 December 2023 for the draft resolution calling for an immediate ceasefire, protecting Palestinian civilians, and ensuring the provision of humanitarian aid, and the urgent needs of the Gaza Strip, based on Article 99 of the UN Charter and international humanitarian law.



Other Press",https://www.oic-oci.org/,-1
Fragile Global Economy Faces New Crisis in Israel-Gaza War,2023-10-10,"The International Monetary Fund said on Tuesday that the pace of the global economic recovery is slowing, a warning that came as a new war in the Middle East threatened to upend a world economy already reeling from several years of overlapping crises.

The eruption of fighting between Israel and Hamas over the weekend, which could sow disruption across the region, reflects how challenging it has become to shield economies from increasingly frequent and unpredictable global shocks. The conflict has cast a cloud over a gathering of top economic policymakers in Morocco for the annual meetings of the I.M.F. and the World Bank.

Officials who planned to grapple with the lingering economic effects of the pandemic and Russia’s war in Ukraine now face a new crisis.

“Economies are at a delicate state,” Ajay Banga, the World Bank president, said in an interview on the sidelines of the annual meetings. “Having war is really not helpful for central banks who are finally trying to find their way to a soft landing,” he said. Mr. Banga was referring to efforts by policymakers in the West to try to cool rapid inflation without triggering a recession.",https://www.nytimes.com/,-1
Oil prices surge above $90 a barrel after Israel orders mass evacuations,2023-10-12,"Listen 5 min Share Comment on this story Comment Add to your saved stories Save

Oil prices surged Friday amid growing geopolitical tensions, as violence in Israel continued to stoke concerns of a broader regional conflict. Brent crude, the international benchmark, climbed 5.5 percent to nearly $91 per barrel by midafternoon. The U.S. benchmark, West Texas Intermediate crude, added 5.5 percent to nearly $88 per barrel.

The Israel Defense Forces said Friday that it would “continue to operate significantly” in the northern Gaza Strip as it gave the region’s 1.1 million people a 24-hour deadline to evacuate. Israeli strikes are pounding the densely populated enclave, and troops are massing nearby ahead of an anticipated ground incursion following Hamas militants’ staged an unprecedented attack on Oct. 7

Turmoil in Middle East makes markets skittish; the region accounts for more than a third of the world’s seaborne oil trade, according to International Energy Agency. While there has been no direct impact on physical supply, “the oil market — like all markets — routinely acts based on emotion rather than logic,” said Pavel Molchanov, managing director and equity research analyst at Raymond James.

Advertisement

“The headlines surrounding this war are creating some extra volatility in oil prices — this is a matter of market psychology, pure and simple,” he said in an email Friday.

Oil prices have been gyrating for days. On Thursday, the Treasury Department sanctioned two shipping companies for violating a $60-per-barrel price cap on Russian crude, marking the first penalties intended to enforce what experts say is a widely flouted rule.

The price cap was initiated in December 2022 with the intent of starving the Russian economy and war machine of oil revenue amid President Vladimir Putin’s invasion of Ukraine. It is backed by a coalition that includes the Group of Seven nations — Canada, France, Germany, Italy, Japan, the United Kingdom and the United States — as well as the European Union.

The Treasury Department’s Office of Foreign Asset Control (OFAC) is imposing penalties against Ice Pearl Navigation Corp., a Turkish shipping company, for transporting Russian crude priced above $80 per barrel. It also sanctioned Lumber Marine, a shipping company based in the United Arab Emirates.

Advertisement

Treasury spokeswoman Megan Apper said enforcement is central to the administration’s effort to limit Russia’s profits from its oil trade, noting that the price cap is designed to keep Russian oil flowing while imposing new costs on Russia, and not to reduce oil supply.

“Indeed, oil prices fell in the hours following the announcement … of course, oil prices are sensitive to many factors, including ongoing conflict in the Middle East,” Apper said in an email.

Share this article Share

As a result of the move, both companies are “blocked” by the OFAC, prohibiting any U.S. person or entity from paying or trading for their goods or services. Though the agency left open the possibility that the blocks could be lifted. “The ultimate goal of sanctions is not to punish, but to bring about a positive change in behavior,” the OFAC wrote in its Thursday release.

Advertisement

Officials cast the sanctions as a warning to other shippers.

“We remain committed to implementing a price cap policy that has two goals: reducing the oil profits upon which Russia relies to wage its unjust war against Ukraine and keeping global energy markets stable and well-supplied despite turbulence caused by Russia’s unprovoked invasion of Ukraine,” Deputy Treasury Secretary Wally Adeyemo said in a release, adding, “We will continue to take actions to achieve these two goals.”

The policy appears to be working in that it has forced Russia to explore more costly ways of getting its oil to buyers, along with paying steeper discounts, says Bob McNally, a consultant with Rapidan Energy Group. But rising oil prices could complicate the G7’s plans, he said, because they want to prevent a sharp drop in exports of Russian oil, something that could lead to supply shortages and higher prices.

Advertisement

“Were oil prices to start rising again I would expect the Treasury to dial back on enforcement stringency,” McNally said Thursday. “The main goal remains to keep Russian exports up in order to keep domestic gasoline prices down.”

On Friday, the U.S. average for a galloon of gas stood at $3.63, according to AAA, down 28 cents from a year ago.

Other entities are known to have carried Russian oil priced above the cap, the Treasury Department said. McNally said it’s likely that other companies are violating the price cap, although it’s not clear how many. About 70 percent of Russian exports appear to be using non-G7 transportation services ― which wouldn’t violate the rule. “As for how much of the [remaining] 30 percent might be in violation, we don’t have a strong sense … though the temptation must be there,” he said.

Advertisement

The sanctions against Ice Pearl are related to an April 17 notice stating that OFAC is aware of reports that Eastern Siberia Pacific Ocean (ESPO) oil, which originates from Pacific ports in Russia, was trading over the price cap. The Treasury Department’s news release on Thursday stated that the Yasa Golden Bosphorus, owned by Ice Pearl, had carried ESPO oil priced above $80 per barrel after the cap was imposed.

Lumber Marine is accused of carrying oil priced above $75 per barrel on a ship called the SCF Primorye, a crude-oil tanker registered in Liberia that took oil from Novy Port in a northern section of Russia.

The G-7 put out their own statement saying, “Our Coalition takes all allegations of evasion and illicit activity seriously, and all Coalition members will respond as appropriate if industry players violate our rule.”",https://www.washingtonpost.com/,-1
"Iranian FM says Hamas Attack a ""Natural Reaction"" of Palestinians",2023-10-16,"Iran's Foreign Minister Hossein Amir-Abdollahian has defended the Hamas militant group's attack as the ""natural reaction"" of the Palestinians against the Israeli government.

Amir-Abdollahian met the Hamas leader, Ismail Haniyeh, and other senior members of the group in Qatar, on October 14, to discuss the Israel-Gaza war, according to the Iranian Foreign Ministry website.

The Iranian foreign minister congratulated Haniyeh on the ""victories of the Palestinian people's resistance,"" and added that “the Al-Aqsa operation was the Palestinian nation’s natural reaction to the relentless crimes and provocative moves by the extremist government of Netanyahu”.

“If the Israeli regime’s crimes in Gaza continue, any possibility in the region is likely, and the Islamic Republic of Iran will continue its attempts to halt Israeli war crimes,” he noted.

In turn, Haniyeh expressed his gratitude to Iran for supporting Palestine, saying that the Muslim world is expected to lend its strong support to the Palestinian nation.

He said that the Al-Aqsa Flood operation was a natural reaction to numerous crimes against the oppressed Palestinian nation in recent months.

Amir-Abdollahian arrived in Qatar on October 14, after visiting Iraq, Lebanon and Syria. He met Qatari Prime Minister Mohammed bin Abdulrahman Al Thani, who also the Foreign Minister. On the following day, he met Qatari Emir Tamim bin Hamad Al Thani to discuss regional matters ""focusing on Palestine"".

In a phone conversation with the Qatari Emir, Iranian President Ebrahim Raisi called for ""the war crimes and genocide machine of this regime to be stopped"" and condemned Israel's blockade of Gaza as the ""revenge against defenceless people for its humiliating and historic defeat"".

The Iranian president praised the ""new generation"" of Palestinians for ""rising up for their rights more seriously than ever"", and accused the US and other supporters of Israel of being ""directly responsible for the crimes of this regime"".

On October 14, Iran's Supreme Leader Ayatollah Ali Khamenei expressed hope that the Israel-Gaza war “will progress and lead to the complete victory of the Palestinians"".

Khamenei referred to the Israel-Gaza conflict as ""one of the manifestations of Islam's power"" and called for all-out support by the Muslim world for Palestinians.

The Iranian high-ranking officials have hailed Palestinian militant group Hamas’ deadly attack on Israel on October 7, but they have repeatedly denied any involvement in the offensive.

On October 15, the military wing of the Palestinian group Hamas, the Izz-al-Din al-Qassam Brigades, claimed responsibility for fresh rocket attacks against targets in northern Israel.

Hamas said in a post on Telegram that it launched 20 rockets against the Israeli frontier town of Shlomi and the coastal town of Nahariya.

On the same day, Lebanon’s Iran-backed group Hezbollah said in a statement that its forces launched strikes against northern Israel in response to the killing of a Reuters journalist, Issam Abdullah and two other citizens on October 13 and 14.

The Israeli army’s helicopters attacked Hezbollah's military infrastructure in Lebanon in response to the nine attacks against its forces from Lebanese territory. It happened in a period of escalating tensions last week along the border and UN-demarcated Blue Line, which separates Lebanon and Israel.

According to the Israeli side, the terrorist attack that started the war killed at least 1,400 Israelis and injured over 3,500. At least 150 were taken hostages, many from various nationalities.

Meanwhile, about 2,750 people were killed in the Gaza Strip and more than 9,700 were injured. In the West Bank, 58 people were killed and more than 1,250 were injured, the Palestinian Health Ministry said. In addition, six key Hamas operatives have been eliminated following the Palestinian group's October 7 attack on the Israeli state.

Since the 1979 Islamic Revolution, Iran and Israel have been entangled in a proxy conflict. Tehran reportedly provides military and financial support to Hezbollah, as well as Palestinian groups like Hamas and Islamic Jihad, which have engaged in conflicts with Israel.

Nathan Sales, a counterterrorism expert at the US State Department, stated in November 2018 that Tehran allocates approximately $100 million annually to fund Hamas and other Palestinian militant groups.",https://caspiannews.com/,-1
"Live: Latest coverage on Palestine-Israel conflict, Day 13",2023-10-17,"More than 4,900 people have been killed as the Palestine-Israel conflict enters its 13th day on Thursday. Egypt announced on Thursday it would allow the ""sustainable"" passage of humanitarian aid to the blocked Gaza Strip through the Rafah crossing, as hundreds of aid trucks wait at the gates of the enclave being bombarded by Israel.

Chinese officials urged a cease-fire in this conflict as Gaza awaits ground invasion. China calls for peace in dealing with international and regional hotspot issues, and urges major countries to be objective and just and exercise calm and restraint.",https://news.cgtn.com/,-1
